COUNTRY,COUNTRY_CODE,DEV,LEGAL,AUDIT_2002,ENFORCE_2002,TOTAL_2002,AUDIT_2005,ENFORCE_2005,TOTAL_2005,AUDIT_2008,ENFORCE_2008,TOTAL_2008,ChAUDIT08_02,IND,PD,UA,PROT_PCT,CHRST_OTH,HIND_PCT,BUDH_PCT,ISLM_PCT,RELG_OTH,RELIGION_IMPORTANT,MARKET_LIQUIDITY2008,DIF_LIQUID08_02
ARGENTINA,ARG,0,0,5,2,7,5,2,7,9,2,11,4,46,49,86,2,90.7,0.01,0.1,2.5,4.69,66,1.677646602,-1.091613424
AUSTRALIA,AUS,1,1,16,22,38,30,22,52,30,22,52,14,90,38,51,42,21.9,0.5,2.1,1.9,31.6,NA,110.5364789,50.8579681
AUSTRIA,AUT,1,0,12,5,17,18,8,26,19,8,27,7,55,11,70,4.7,65.2,0.1,0.13,5.7,24.17,NA,23.72538183,19.43409188
BELGIUM,BEL,1,0,12,12,24,18,22,40,22,22,44,10,75,65,94,1.35,46.65,0.06,0.29,6,45.65,NA,36.69634042,20.04594438
BRAZIL,BRA,0,0,8,2,10,18,8,26,15,8,23,7,38,69,76,15,75.4,0,0.13,0.1,9.37,87,31.050644,16.03123255
CANADA,CAN,1,1,18,22,40,32,22,54,32,22,54,14,80,39,48,29,48.1,1,1,2.8,18.1,42,97.20106149,31.80808317
CHILE,CHL,0,0,2,5,7,4,5,9,4,5,9,2,23,63,86,15,72.2,0,0.04,0.1,12.66,70,19.25821714,12.8925149
CHINA,CHN,0,0,12,16,28,21,16,37,21,16,37,9,20,80,30,1.2,3.8,0,36.33,1.8,56.87,NA,79.26766914,39.81711543
CROATIA,HRV,0,0,2,5,7,2,2,4,14,8,22,12,33,73,80,2,90.6,0.01,0.03,1.3,6.06,70,4.389933081,3.828594172
CZECH,CZE,0,0,6,5,11,11,5,16,11,8,19,5,58,57,74,4.6,24.3,0,0.5,0.1,70.5,NA,19.24273785,12.01193694
DENMARK,DNK,1,0,15,12,27,27,22,49,27,22,49,12,74,18,23,91,4,0.1,0.5,4.1,0.3,19,NA,NA
EGYPT,EGY,0,0,2,4,6,2,4,6,10,4,14,8,25,70,80,0.13,9.87,0,0,90,0,97,50.34604366,NA
FINLAND,FIN,1,0,10,8,18,20,12,32,20,12,32,10,63,33,59,85,0,0.01,0.1,0.8,14.09,NA,NA,NA
FRANCE,FRA,1,0,15,19,34,29,19,48,29,16,45,14,71,68,86,2,51.5,0.1,1.2,7.5,37.7,30,84.04964897,16.84803194
GERMANY,DEU,1,0,13,5,18,23,19,42,23,21,44,10,67,35,65,33.81,26.09,0.12,1,5,33.98,40,77.99854947,13.09098003
GREECE,GRC,1,0,7,5,12,17,9,26,17,9,26,10,35,60,112,0.28,94.72,0,0.1,4.7,0.2,71,28.60588929,-33.56455056
HONG KONG,HKG,1,1,16,8,24,22,8,30,30,22,52,14,25,68,29,9.13,10.07,1.37,19.97,2.57,56.89,24,572.5509313,421.8531229
HUNGARY,HUN,0,0,7,8,15,9,8,17,6,12,18,-1,80,46,82,24,50.4,0.02,0.05,0.3,25.23,39,24.39194444,14.57147313
INDIA,IND,0,1,9,6,15,11,6,17,15,6,21,6,48,77,40,0.7,1.6,80.5,2.03,14.6,0.58,90,75.40684266,9.124638517
INDONESIA,IDN,0,0,6,6,12,8,6,14,8,6,14,2,14,78,48,5.9,6.4,2,1,84,0.7,99,14.40785276,5.589890618
IRELAND,IRL,1,1,15,8,23,21,8,29,29,12,41,14,70,28,35,5.05,87.25,0.08,0.2,0.9,6.52,54,6.098515779,-14.7195443
ISRAEL,ISR,1,1,10,8,18,24,21,45,24,24,48,14,54,13,81,0.01,3.49,0.1,0.1,17.7,78.6,51,41.45348913,26.8425767
ITALY,ITA,1,0,15,19,34,24,19,43,27,19,46,12,76,50,75,1.3,89.8,0.2,0.2,2.6,5.9,72,68.78662299,12.55661564
JAPAN,JPN,1,0,12,4,16,26,8,34,26,8,34,14,46,54,92,0.4,1.6,0,53.9,0.1,44,24,118.6633857,75.15795867
JORDAN,JOR,0,0,9,8,17,6,2,8,6,5,11,-3,30,70,65,0.5,5.5,0,0,93,1,NA,135.2316837,126.034776
KOREA (SOUTH),KOR,1,0,4,8,12,14,10,24,18,10,28,14,18,60,85,18.09,11.11,0.01,30.4,0.2,40.2,43,127.8992798,31.28246538
MALAYSIA,MYS,1,1,7,8,15,9,8,17,21,19,40,14,26,100,36,2.1,7,6.3,22,61.4,1.2,96,47.29189053,7.965386428
MEXICO,MEX,0,0,8,5,13,12,15,27,12,13,25,4,30,81,82,6,88.5,0,0.1,0.1,5.3,73,7.99065119,2.649649321
MOROCCO,MAR,0,0,4,2,6,6,2,8,9,2,11,5,46,70,68,0.55,0.55,0,0,98,0.9,97,16.1559054,8.282505639
NETHERLANDS,NLD,1,0,7,5,12,13,8,21,24,19,43,17,80,38,53,21,22.4,0.58,0.55,5.5,49.97,NA,122.6237677,6.134217332
NEW ZEALAND,NZL,1,1,14,2,16,20,19,39,24,19,43,10,79,22,49,47,8.3,1,1.2,0.9,41.6,NA,4.103054374,-10.68038383
NORWAY,NOR,1,0,15,12,27,25,22,47,25,22,47,10,69,31,50,90,0,0.5,0.42,3,10.48,NA,71.74652633,43.02677729
PAKISTAN,PAK,0,1,7,8,15,10,8,18,10,8,18,3,14,55,70,0.86,0.74,1.5,0.1,96.4,0.4,92,62.06662281,36.38427627
PERU,PER,0,0,9,2,11,8,5,13,11,5,16,2,16,64,87,7.2,86.6,0,0.31,0.1,5.79,84,4.465227236,1.392135242
PHILIPPINES,PHL,0,0,4,2,6,8,16,24,11,16,27,7,32,94,44,12,80.4,0.2,3,5.1,0,96,8.626208076,-0.824169808
POLAND,POL,0,0,9,2,11,11,6,17,19,9,28,10,60,68,93,0.34,95.36,0,0.1,0.1,4.1,75,13.64288233,7.379552463
PORTUGAL,PRT,1,0,7,9,16,17,9,26,17,12,29,10,27,63,104,1,85.7,0.07,0.18,0.6,12.45,NA,33.92368528,4.929048902
ROMANIA,ROU,0,0,4,5,9,6,5,11,6,9,15,2,30,90,90,6,91.5,0,0.01,0.3,2.19,84,1.231729114,0.981296176
RUSSIA,RUS,0,0,12,6,18,22,6,28,22,6,28,10,39,93,95,0.28,70.02,0.04,1.1,11.7,16.86,34,61.50305883,50.00507639
SINGAPORE,SGP,1,1,13,8,21,20,12,32,20,12,32,7,20,74,8,8,10,4,51.5,14.9,11.6,70,139.4315132,46.72632381
